employee_id,hotel_name,department,years_experience,training_hours_per_year,work_environment_score,welfare_score,job_satisfaction,overtime_hours_per_week,salary_band,promotion_last_5_years,retention_status
EMP0001,Atlantic Breeze Inn,Sales,16,63,2,7,8,14,Mid,1,1
EMP0002,Maple Residency,Front Desk,3,88,9,1,6,11,Low,0,0
EMP0003,Palm Crown Hotel,Food & Beverage,11,118,1,7,3,3,Mid,1,0
EMP0004,Maple Residency,Front Desk,8,100,8,10,8,14,Low,1,1
EMP0005,Maple Residency,Security,18,27,4,5,9,10,High,1,1
EMP0006,Lagoon View Hotel,Housekeeping,11,73,4,6,1,15,High,0,0
EMP0007,Palm Crown Hotel,Sales,8,38,5,10,9,22,Low,0,1
EMP0008,Palm Crown Hotel,Housekeeping,6,56,8,7,6,5,High,0,1
EMP0009,Palm Crown Hotel,Housekeeping,13,16,5,5,6,13,High,0,0
EMP0010,Maple Residency,Sales,19,102,8,7,4,17,Mid,0,0
EMP0011,Atlantic Breeze Inn,Food & Beverage,18,85,10,9,1,11,Low,1,1
EMP0012,Palm Crown Hotel,Security,14,89,1,3,10,10,Mid,0,0
EMP0013,Aurora Hospitality,Front Desk,15,43,10,8,8,12,Mid,0,1
EMP0014,Maple Residency,Maintenance,20,24,9,2,2,20,Low,0,0
EMP0015,Lagoon View Hotel,Front Desk,4,16,6,7,1,22,Low,0,0
EMP0016,Atlantic Breeze Inn,Maintenance,2,12,3,2,2,10,Mid,0,0
EMP0017,Aurora Hospitality,Front Desk,11,83,8,4,1,22,Low,0,0
EMP0018,Aurora Hospitality,Sales,19,24,9,7,1,15,Mid,0,0
EMP0019,Lagoon View Hotel,Security,20,67,6,3,9,14,High,1,1
EMP0020,Atlantic Breeze Inn,Maintenance,3,9,7,2,1,20,High,1,0
EMP0021,Maple Residency,Food & Beverage,20,66,1,10,4,14,Low,0,0
EMP0022,Eko Suites,Front Desk,15,104,5,7,10,24,High,0,1
EMP0023,Atlantic Breeze Inn,Front Desk,6,108,5,1,6,3,Low,1,1
EMP0024,Lagoon View Hotel,Maintenance,12,17,10,8,7,10,Low,0,1
EMP0025,Aurora Hospitality,Food & Beverage,20,110,4,3,2,18,Mid,0,0
EMP0026,Maple Residency,Food & Beverage,9,99,6,2,6,14,Low,1,1
EMP0027,Atlantic Breeze Inn,Sales,6,110,7,3,7,3,Low,0,1
EMP0028,Eko Suites,Sales,13,85,9,5,10,20,Mid,1,1
EMP0029,Eko Suites,Sales,4,33,1,8,10,12,Low,0,1
EMP0030,Palm Crown Hotel,Sales,2,110,6,10,2,21,Low,0,0
EMP0031,Palm Crown Hotel,Sales,10,7,7,7,2,18,Mid,0,0
EMP0032,Lagoon View Hotel,Sales,10,39,3,7,10,1,Mid,1,1
EMP0033,Atlantic Breeze Inn,Security,17,112,8,7,7,13,Mid,0,1
EMP0034,Atlantic Breeze Inn,Food & Beverage,14,107,5,8,1,3,Low,0,0
EMP0035,Aurora Hospitality,Sales,11,82,9,1,8,15,Mid,1,1
EMP0036,Aurora Hospitality,Food & Beverage,8,41,5,4,3,20,Low,0,0
EMP0037,Aurora Hospitality,Food & Beverage,9,40,9,6,6,19,Low,0,1
EMP0038,Palm Crown Hotel,Housekeeping,11,100,10,9,9,13,Mid,1,1
EMP0039,Atlantic Breeze Inn,Security,16,5,4,2,6,14,Low,0,0
EMP0040,Atlantic Breeze Inn,Sales,5,51,9,1,9,2,Low,1,1
EMP0041,Eko Suites,Front Desk,6,25,5,10,7,7,Mid,1,1
EMP0042,Palm Crown Hotel,Maintenance,13,63,10,2,9,15,Mid,1,1
EMP0043,Maple Residency,Front Desk,12,97,9,7,2,9,Mid,0,0
EMP0044,Palm Crown Hotel,Security,7,58,3,3,8,3,Low,1,1
EMP0045,Maple Residency,Maintenance,9,55,4,10,8,17,Low,0,1
EMP0046,Eko Suites,Security,8,58,9,2,2,1,Low,1,1
EMP0047,Lagoon View Hotel,Food & Beverage,17,108,10,7,4,16,Low,0,1
EMP0048,Atlantic Breeze Inn,Maintenance,1,69,6,2,7,12,Mid,0,0
EMP0049,Eko Suites,Food & Beverage,4,100,2,3,4,3,High,0,0
EMP0050,Atlantic Breeze Inn,Front Desk,4,32,7,7,4,24,Mid,1,1
EMP0051,Aurora Hospitality,Front Desk,5,52,2,4,6,10,Mid,1,0
EMP0052,Lagoon View Hotel,Maintenance,18,21,2,1,10,6,Mid,0,0
EMP0053,Lagoon View Hotel,Maintenance,7,20,1,5,6,11,Mid,0,0
EMP0054,Eko Suites,Sales,15,69,3,9,10,9,Low,1,1
EMP0055,Lagoon View Hotel,Security,12,69,6,8,3,6,Mid,0,0
EMP0056,Maple Residency,Sales,0,118,8,9,9,12,Mid,0,1
EMP0057,Lagoon View Hotel,Security,19,111,9,10,10,6,Low,1,1
EMP0058,Atlantic Breeze Inn,Sales,16,3,7,9,2,23,Low,0,0
EMP0059,Atlantic Breeze Inn,Food & Beverage,6,93,4,7,6,16,High,1,1
EMP0060,Atlantic Breeze Inn,Maintenance,12,74,6,4,7,9,Low,0,0
EMP0061,Atlantic Breeze Inn,Front Desk,3,61,5,5,9,9,Low,0,1
EMP0062,Maple Residency,Security,3,61,8,1,3,23,Mid,0,0
EMP0063,Palm Crown Hotel,Security,5,93,1,1,10,3,Mid,1,1
EMP0064,Aurora Hospitality,Front Desk,18,94,1,3,3,19,Mid,0,0
EMP0065,Eko Suites,Sales,11,23,6,8,7,3,Mid,1,1
EMP0066,Atlantic Breeze Inn,Security,6,54,10,2,4,21,Low,0,0
EMP0067,Lagoon View Hotel,Food & Beverage,9,8,2,4,8,6,Mid,1,1
EMP0068,Atlantic Breeze Inn,Maintenance,18,118,5,2,7,21,Low,0,0
EMP0069,Lagoon View Hotel,Front Desk,6,2,1,5,5,0,High,0,0
EMP0070,Aurora Hospitality,Maintenance,2,114,7,9,7,11,Mid,1,1
EMP0071,Aurora Hospitality,Security,12,30,1,1,3,23,Low,0,0
EMP0072,Aurora Hospitality,Security,12,39,4,5,2,12,Low,0,0
EMP0073,Lagoon View Hotel,Front Desk,17,100,9,9,6,9,Low,1,1
EMP0074,Atlantic Breeze Inn,Food & Beverage,19,35,1,1,2,14,Low,0,0
EMP0075,Aurora Hospitality,Housekeeping,7,23,4,9,3,12,Low,1,1
EMP0076,Maple Residency,Front Desk,8,94,6,8,6,22,Mid,0,0
EMP0077,Lagoon View Hotel,Housekeeping,6,5,6,4,5,21,Mid,1,1
EMP0078,Lagoon View Hotel,Sales,0,65,8,10,8,21,Low,0,1
EMP0079,Atlantic Breeze Inn,Housekeeping,2,83,1,5,9,20,Low,0,0
EMP0080,Lagoon View Hotel,Food & Beverage,12,91,7,5,3,21,Low,1,0
EMP0081,Lagoon View Hotel,Sales,16,74,1,6,10,8,High,1,1
EMP0082,Aurora Hospitality,Housekeeping,0,3,7,7,3,8,Low,0,0
EMP0083,Atlantic Breeze Inn,Sales,5,78,3,8,3,14,Mid,0,0
EMP0084,Aurora Hospitality,Housekeeping,20,5,8,8,6,9,High,1,1
EMP0085,Aurora Hospitality,Food & Beverage,5,117,3,2,1,23,Mid,0,0
EMP0086,Atlantic Breeze Inn,Housekeeping,11,112,1,9,7,24,High,1,1
EMP0087,Eko Suites,Housekeeping,12,93,8,7,1,9,Low,1,1
EMP0088,Aurora Hospitality,Housekeeping,12,119,3,4,5,7,High,0,0
EMP0089,Maple Residency,Front Desk,14,101,2,4,10,23,Low,0,0
EMP0090,Maple Residency,Front Desk,20,50,1,8,8,15,Low,1,1
